themes,original_theme
storm system,natural_disaster_storm_system
strong winds,natural_disaster_strong_winds
sustained winds,natural_disaster_sustained_winds
temblor,natural_disaster_temblor
tornado,natural_disaster_tornado
tornadoes,natural_disaster_tornadoes
torrential rain,natural_disaster_torrential_rain
torrential rains,natural_disaster_torrential_rains
tremor,natural_disaster_tremor
tremors,natural_disaster_tremors
tropical cyclone,natural_disaster_tropical_cyclone
tropical storm,natural_disaster_tropical_storm
tsunami,natural_disaster_tsunami
twister,natural_disaster_twister
typhoon,natural_disaster_typhoon
volcanic,natural_disaster_volcanic
volcano,natural_disaster_volcano
volcanoes,natural_disaster_volcanoes
water level,natural_disaster_water_level
wildfire,natural_disaster_wildfire
wildfires,natural_disaster_wildfires
winter storm,natural_disaster_winter_storm
wintry,natural_disaster_wintry
negotiations,negotiations
construction,new_construction
crime,organized_crime
peacekeeping,peacekeeping
persecution,persecution
incident,pipeline_incident
piracy,piracy
prisoner,political_prisoner
turmoil,political_turmoil
density,population_density
poverty,poverty
outage,power_outage
privatization,privatization
propaganda,propaganda
rights,property_rights
protest,protest
transport,public_transport
incident,rail_incident
rape,rape
ratify,ratify
rebellion,rebellion
rebels,rebels
recruitment,recruitment
refugees,refugees
antisemitism,rel_antisemitism
islam o phobia,rel_islamophobia
relations,relations
hostage,release_hostage
religion,religion
resignation,resignation
retaliate,retaliate
retirement,retirement
retirements,retirements
incident,road_incident
rural,rural
sanctions,sanctions
sanitation,sanitation
scandal,scandal
science,science
services,security_services
seige,seige
seize,seize
identified atrocity,self_identified_atrocity
identified environ,self_identified_environ_disaster
rights,self_identified_human_rights
crisis,self_identified_humanitarian_crisis
separatists,separatists
shortage,shortage
sickened,sickened
capacity building,slfid_capacity_building
civil liberties,slfid_civil_liberties
dictatorship,slfid_dictatorship
economic development,slfid_economic_development
economic development aid,slfid_economic_developmentaid
economic power,slfid_economic_power
military buildup,slfid_military_buildup
military readiness,slfid_military_readiness
military spending,slfid_military_spending
mineral resources,slfid_mineral_resources
natural resources,slfid_natural_resources
rule law,slfid_rule_of_law
slums,slums
smuggling,smuggling
aging population,soc_agingpopulation
aid assistance,soc_aidassistance
chronic disease,soc_chronicdisease
degrading treatment,soc_degradingtreatment
diplo mre cog,soc_diplomrecog
early marriage,soc_earlymarriage
econ coop,soc_econcoop
effigy,soc_effigy
emerging tech,soc_emergingtech
express regret,soc_expressregret
express support,soc_expresssupport
fascism,soc_fascism
general crime,soc_generalcrime
innovation,soc_innovation
intel sharing,soc_intelsharing
marginalize,soc_marginalize
pardon,soc_pardon
points of interest,soc_pointsofinterest
force base,soc_pointsofinterest_air_force_base
points of interest airport,soc_pointsofinterest_airport
points of interest airports,soc_pointsofinterest_airports
base,soc_pointsofinterest_army_base
points of interest college,soc_pointsofinterest_college
points of interest colleges,soc_pointsofinterest_colleges
station,soc_pointsofinterest_fire_station
building,soc_pointsofinterest_government_building
buildings,soc_pointsofinterest_government_buildings
points of interest headquarters,soc_pointsofinterest_headquarters
center,soc_pointsofinterest_health_center
centers,soc_pointsofinterest_health_centers
school,soc_pointsofinterest_high_school
schools,soc_pointsofinterest_high_schools
points of interest highschool,soc_pointsofinterest_highschool
points of interest hospital,soc_pointsofinterest_hospital
points of interest hospitals,soc_pointsofinterest_hospitals
points of interest jail,soc_pointsofinterest_jail
points of interest jails,soc_pointsofinterest_jails
center,soc_pointsofinterest_medical_center
centers,soc_pointsofinterest_medical_centers
school,soc_pointsofinterest_middle_school
schools,soc_pointsofinterest_middle_schools
base,soc_pointsofinterest_military_base
bases,soc_pointsofinterest_military_bases
station,soc_pointsofinterest_police_station
stations,soc_pointsofinterest_police_stations
points of interest preschool,soc_pointsofinterest_preschool
points of interest preschool s,soc_pointsofinterest_preschools
points of interest prison,soc_pointsofinterest_prison
points of interest prisons,soc_pointsofinterest_prisons
camp,soc_pointsofinterest_refugee_camp
camps,soc_pointsofinterest_refugee_camps
points of interest school,soc_pointsofinterest_school
points of interest schools,soc_pointsofinterest_schools
points of interest universities,soc_pointsofinterest_universities
points of interest university,soc_pointsofinterest_university
polarized,soc_polarized
police militarization,soc_policemilitarization
quarantine,soc_quarantine
ransom,soc_ransom
refugee camp,soc_refugeecamp
self immolation,soc_selfimmolation
slavery,soc_slavery
suicide,soc_suicide
suspicious activity,soc_suspiciousactivity
suspicious people,soc_suspiciouspeople
technology sector,soc_technologysector
traffic accident,soc_trafficaccident
us security agencies,soc_ussecurityagencies
sovereignty,sovereignty
emergency,state_of_emergency
strike,strike
attack,suicide_attack
surveillance,surveillance
office,take_office
agric ul harmin sects,tax_agriculharminsects
agric ul harmin sects delia,tax_agriculharminsects_delia
agric ul harmin sects locust,tax_agriculharminsects_locust
agric ul harmin sect smites,tax_agriculharminsects_mites
agric ul harmin sects moth,tax_agriculharminsects_moth
aid groups,tax_aidgroups
red cross,tax_aidgroups_american_red_cross
international,tax_aidgroups_amnesty_international
development bank,tax_aidgroups_asian_development_bank
southeast asian nations,tax_aidgroups_association_of_southeast_asian_nations
borders,tax_aidgroups_doctors_without_borders
emergency management agency,tax_aidgroups_federal_emergency_management_agency
aid groups green peace,tax_aidgroups_greenpeace
humanity,tax_aidgroups_habitat_for_humanity
commissioner refugees,tax_aidgroups_high_commissioner_for_refugees
right swatch,tax_aidgroups_human_rights_watch
organization migration,tax_aidgroups_international_organization_for_migration
aid groups ox fam,tax_aidgroups_oxfam
crescent,tax_aidgroups_red_crescent
cross,tax_aidgroups_red_cross
army,tax_aidgroups_salvation_army
children,tax_aidgroups_save_the_children
international,tax_aidgroups_transparency_international
aid groups unicef,tax_aidgroups_unicef
food programme,tax_aidgroups_world_food_programme
health organization,tax_aidgroups_world_health_organization
cartels,tax_cartels
chronic disease,tax_chronicdisease
chronic disease alzheimer,tax_chronicdisease_alzheimer
chronic disease alzheimer s,tax_chronicdisease_alzheimers
chronic disease arthritis,tax_chronicdisease_arthritis
chronic disease asthma,tax_chronicdisease_asthma
chronic disease chronic,tax_chronicdisease_chronic_disease
chronic disease diabetes,tax_chronicdisease_diabetes
chronic disease heart,tax_chronicdisease_heart_disease
health,tax_chronicdisease_poor_health
disease,tax_disease
abdomen,tax_disease_abdomen
abdominal pain,tax_disease_abdominal_pain
abnormalities,tax_disease_abnormalities
ad hd,tax_disease_adhd
alcoholism,tax_disease_alcoholism
allergic,tax_disease_allergic
allergy,tax_disease_allergy
alzheimer,tax_disease_alzheimer
alzheimer,tax_disease_alzheimer_disease
alzheimer s,tax_disease_alzheimers
amnesia,tax_disease_amnesia
amputation,tax_disease_amputation
anemia,tax_disease_anemia
aneurysm,tax_disease_aneurysm
anomaly,tax_disease_anomaly
anthrax,tax_disease_anthrax
anticipation,tax_disease_anticipation
arthritis,tax_disease_arthritis
asthma,tax_disease_asthma
atherosclerosis,tax_disease_atherosclerosis
atrophy,tax_disease_atrophy
autism,tax_disease_autism
back pain,tax_disease_back_pain
bacteria,tax_disease_bacteria
bacterial,tax_disease_bacterial
bipolar disorder,tax_disease_bipolar_disorder
bird flu,tax_disease_bird_flu
birth defects,tax_disease_birth_defects
blindness,tax_disease_blindness
bodyweight,tax_disease_body_weight
brain damage,tax_disease_brain_damage
brain injury,tax_disease_brain_injury
breast cancer,tax_disease_breast_cancer
bronchitis,tax_disease_bronchitis
bse,tax_disease_bse
cancer,tax_disease_cancer
cardiovascular diseases,tax_disease_cardiovascular_diseases
carotid artery,tax_disease_carotid_artery
cataract,tax_disease_cataract
cerebral palsy,tax_disease_cerebral_palsy
chest pain,tax_disease_chest_pain
chi kung un ya,tax_disease_chikungunya
chills,tax_disease_chills
cholera,tax_disease_cholera
chorea,tax_disease_chorea
chronic,tax_disease_chronic_disease
chronic pain,tax_disease_chronic_pain
cirrhosis,tax_disease_cirrhosis
colic,tax_disease_colic
coma,tax_disease_coma
common cold,tax_disease_common_cold
communicable,tax_disease_communicable
congenital,tax_disease_congenital
constipation,tax_disease_constipation
contagious,tax_disease_contagious
conventional,tax_disease_conventional
convulsions,tax_disease_convulsions
coronary heart,tax_disease_coronary_heart_disease
cough,tax_disease_cough
deficiency,tax_disease_deficiency
dehydration,tax_disease_dehydration
delirium,tax_disease_delirium
dementia,tax_disease_dementia
dengue,tax_disease_dengue
dengue fever,tax_disease_dengue_fever
depression,tax_disease_depression
diabetes,tax_disease_diabetes
diarrhea,tax_disease_diarrhea
diarrhoea,tax_disease_diarrhoea
disease disease,tax_disease_disease
diseases,tax_disease_diseases
disruptive,tax_disease_disruptive
dizziness,tax_disease_dizziness
syndrome,tax_disease_down_syndrome
drug overdose,tax_disease_drug_overdose
dumping,tax_disease_dumping
dyspnea,tax_disease_dyspnea
e bola,tax_disease_ebola
edema,tax_disease_edema
embolism,tax_disease_embolism
emergencies,tax_disease_emergencies
encephalitis,tax_disease_encephalitis
epidemic,tax_disease_epidemic
epilepsy,tax_disease_epilepsy
fatigue,tax_disease_fatigue
fever,tax_disease_fever
fibrosis,tax_disease_fibrosis
fingerprints,tax_disease_fingerprints
flu,tax_disease_flu
flushing,tax_disease_flushing
food poisoning,tax_disease_food_poisoning
fractures,tax_disease_fractures
gambling,tax_disease_gambling
gastrointestinal,tax_disease_gastrointestinal
group,tax_disease_group_b
hallucinations,tax_disease_hallucinations
head injuries,tax_disease_head_injuries
headache,tax_disease_headache
hearing loss,tax_disease_hearing_loss
heart attack,tax_disease_heart_attack
heart,tax_disease_heart_disease
heart failure,tax_disease_heart_failure
hemorrhage,tax_disease_hemorrhage
hemorrhagic,tax_disease_hemorrhagic
hepatitis,tax_disease_hepatitis
hepatitis,tax_disease_hepatitis_c
herpes,tax_disease_herpes
pressure,tax_disease_high_blood_pressure
hiv,tax_disease_hiv
hiv aids,tax_disease_hiv_aids
hyperplasia,tax_disease_hyperplasia
hypertension,tax_disease_hypertension
hypothermia,tax_disease_hypothermia
hysteria,tax_disease_hysteria
illusions,tax_disease_illusions
impotence,tax_disease_impotence
infarction,tax_disease_infarction
infection,tax_disease_infection
infectious,tax_disease_infectious
infectious,tax_disease_infectious_disease
infertility,tax_disease_infertility
inflammation,tax_disease_inflammation
influenza,tax_disease_influenza
insomnia,tax_disease_insomnia
intrinsic,tax_disease_intrinsic
ischemia,tax_disease_ischemia
kidney,tax_disease_kidney_disease
kidney failure,tax_disease_kidney_failure
leukemia,tax_disease_leukemia
lice,tax_disease_lice
lung cancer,tax_disease_lung_cancer
lymphoma,tax_disease_lymphoma
malaria,tax_disease_malaria
malnutrition,tax_disease_malnutrition
measles,tax_disease_measles
melanoma,tax_disease_melanoma
meningitis,tax_disease_meningitis
menopause,tax_disease_menopause
mental illness,tax_disease_mental_illness
mentally ill,tax_disease_mentally_ill
metabolism,tax_disease_metabolism
microcephaly,tax_disease_microcephaly
migraine,tax_disease_migraine
miscarriage,tax_disease_miscarriage
mole,tax_disease_mole
multiple sclerosis,tax_disease_multiple_sclerosis
myocardial infarction,tax_disease_myocardial_infarction
nausea,tax_disease_nausea
necrosis,tax_disease_necrosis
obese,tax_disease_obese
obesity,tax_disease_obesity
occlusion,tax_disease_occlusion
osteoarthritis,tax_disease_osteoarthritis
osteoporosis,tax_disease_osteoporosis
outbreak,tax_disease_outbreak
overweight,tax_disease_overweight
pancreatic cancer,tax_disease_pancreatic_cancer
paralysis,tax_disease_paralysis
parkinson,tax_disease_parkinson_disease
pathogen,tax_disease_pathogen
pathogens,tax_disease_pathogens
pedophilia,tax_disease_pedophilia
plague,tax_disease_plague
plaque,tax_disease_plaque
pneumonia,tax_disease_pneumonia
poisoned,tax_disease_poisoned
poisoning,tax_disease_poisoning
polio,tax_disease_polio
pregnancy,tax_disease_pregnancy
prostate cancer,tax_disease_prostate_cancer
rabies,tax_disease_rabies
rash,tax_disease_rash
recurrence,tax_disease_recurrence
remission,tax_disease_remission
renal,tax_disease_renal
respiratory illness,tax_disease_respiratory_illness
rheumatism,tax_disease_rheumatism
rheumatoid arthritis,tax_disease_rheumatoid_arthritis
salmonella,tax_disease_salmonella
sar s,tax_disease_sars
schizophrenia,tax_disease_schizophrenia
sclerosis,tax_disease_sclerosis
seizures,tax_disease_seizures
diseases,tax_disease_sexually_transmitted_diseases
shingles,tax_disease_shingles
skin cancer,tax_disease_skin_cancer
starvation,tax_disease_starvation
stroke,tax_disease_stroke
substance abuse,tax_disease_substance_abuse
syndrome,tax_disease_syndrome
tonic,tax_disease_tonic
transitional,tax_disease_transitional
trauma,tax_disease_trauma
tremor,tax_disease_tremor
tuberculosis,tax_disease_tuberculosis
tumor,tax_disease_tumor
tumour,tax_disease_tumour
twinning,tax_disease_twinning
ulcers,tax_disease_ulcers
vertigo,tax_disease_vertigo
vomiting,tax_disease_vomiting
weight gain,tax_disease_weight_gain
weight loss,tax_disease_weight_loss
virus,tax_disease_west_nile_virus
wounds,tax_disease_wounds
fever,tax_disease_yellow_fever
zi ka,tax_disease_zika
virus,tax_disease_zika_virus
econ free trade agreements,tax_econ_freetradeagreements
eurasian economic union,tax_econ_freetradeagreements_eurasian_economic_union
european economic area,tax_econ_freetradeagreements_european_economic_area
free trade agreement,tax_econ_freetradeagreements_free_trade_agreement
mer co sur,tax_econ_freetradeagreements_mercosur
naf ta,tax_econ_freetradeagreements_nafta
north american free trade agreement,tax_econ_freetradeagreements_north_american_free_trade_agreement
tp p,tax_econ_freetradeagreements_tpp
t tip,tax_econ_freetradeagreements_ttip
econ price,tax_econ_price
